year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
2,520.7,377.0,17.2,0.0,3,113,3600,525,0.0,155.7,0.0,18,0.398
3,520.7,539.1,17.5,0.0,4,116,3800,550,1.7,170.8,2.0,18,0.4
4,520.7,422.7,17.6,0.0,3,121,3900,590,2.3,178.2,25.0,19,0.411
5,520.7,466.0,18.1,0.0,2,123,4000,370,7.1,189.2,64.0,19,0.432
6,520.7,322.1,18.4,0.0,3,114,4800,580,14.5,205.3,71.0,20,0.455
7,520.7,190.4,18.9,0.0,2,120,5100,550,21.4,222.3,78.0,20,0.469
8,520.7,297.5,18.3,0.0,2,110,5300,500,27.8,270.6,88.0,22,0.476
9,520.7,326.3,17.2,0.0,4,114,4400,550,31.2,288.6,91.0,23,0.527
10,520.7,160.8,18.5,0.0,3,113,10675,1413,38.9,307.0,98.0,23,0.54
1,505.5,272.7,19.0,0.0,4,103,4400,440,3.8,22.5,14.0,12,1.01
2,505.5,155.0,19.8,0.0,3,109,4400,440,4.1,25.1,15.0,13,1.03
3,505.5,380.7,18.5,1.0,3,111,4200,465,5.1,38.2,32.0,13,1.05
4,505.5,349.8,18.4,0.0,3,115,3900,475,5.6,38.4,59.0,14,1.09
5,505.5,441.3,18.6,0.0,4,115,4100,500,5.8,77.5,97.0,15,1.12
6,505.5,288.6,18.7,0.0,3,110,4500,300,7.7,103.5,117.0,15,1.328
7,505.5,413.4,19.2,0.0,3,113,4720,240,77.7,153.8,166.0,15,1.329
8,505.5,272.5,19.4,0.0,3,108,5440,330,95.6,166.9,176.0,17,1.332
9,505.5,141.2,19.9,0.0,2,105,5600,300,103.9,180.2,188.0,9,1.358
10,505.5,198.7,19.4,0.0,2,106,5850,375,107.8,188.4,205.0,10,1.349
1,469.9,446.5,15.4,1.4,5,109,5600,2200,0.0,0.0,0.0,0,0.753
2,469.9,177.5,16.8,0.0,3,106,6412,1596,0.0,0.0,0.0,2,0.78
3,469.9,175.7,17.3,0.0,2,108,6783,1689,0.0,0.0,0.0,2,0.795
4,469.9,313.3,17.2,0.0,3,110,7175,1787,0.0,0.0,0.0,3,0.821
5,469.9,87.4,17.2,0.0,3,105,7567,1885,0.0,32.1,0.0,3,0.834
6,469.9,298.4,17.4,1.0,3,110,5029,3042,0.0,63.9,0.0,4,0.863
7,469.9,431.0,16.7,0.0,3,108,5043,2660,0.0,109.1,2.0,4,0.911
8,469.9,533.0,16.5,0.0,4,108,4642,2299,0.0,132.1,2.0,4,0.952
9,469.9,196.5,16.9,2.0,3,115,5054,2729,0.0,210.5,9.0,5,1.183
10,469.9,306.2,17.0,7.0,2,112,5883,2847,0.0,271.8,10.0,5,1.296
1,439.6,427.9,12.4,97.0,4,116,4200,1260,0.0,6.5,0.0,5,0.965
2,439.6,419.2,12.2,14.7,6,114,3750,1425,0.0,8.0,0.0,5,1.086
3,439.6,420.4,12.6,34.0,6,120,3950,1500,0.0,11.3,0.0,6,1.091
4,439.6,463.2,12.0,13.0,6,113,3900,1530,0.0,16.5,0.0,6,1.064
5,439.6,280.0,12.9,23.4,5,116,3840,1580,0.0,18.5,0.0,7,1.086
6,439.6,288.8,13.3,4.6,6,112,3560,1640,1.0,21.0,0.0,7,1.091
7,439.6,226.2,13.7,18.0,4,111,3800,1900,1.0,21.1,4.0,7,1.155
8,439.6,400.6,13.1,37.5,2,110,3900,1950,15.0,28.1,4.0,8,1.185
9,439.6,390.5,11.9,16.6,5,112,4040,2000,85.0,28.3,4.0,8,1.265
10,439.6,204.4,13.1,6.2,4,107,4200,2100,86.5,28.9,4.0,8,1.449
1,593.9,79.5,18.7,5.0,2,108,2450,245,24.2,165.8,69.0,5,1.671
2,593.9,175.3,17.6,17.0,3,110,2400,300,55.8,166.1,91.0,5,1.681
3,593.9,218.6,17.4,0.0,4,112,2300,350,131.9,167.5,101.0,8,1.703
4,593.9,304.7,17.8,1.0,3,114,2400,375,133.2,171.8,109.0,8,1.712
5,593.9,354.5,17.0,0.0,3,117,2600,390,214.4,194.3,116.0,11,1.721
6,593.9,161.1,18.2,0.0,4,106,2800,400,220.5,199.5,119.0,11,1.734
7,593.9,170.7,18.5,0.0,4,110,3020,660,265.7,234.6,127.0,14,1.882
8,593.9,223.9,18.9,0.0,3,110,3060,720,286.7,244.1,129.0,16,1.93
9,593.9,228.2,18.4,0.1,2,113,3200,700,305.0,257.8,133.0,16,1.946
10,593.9,225.0,17.2,0.0,4,114,3400,740,305.0,261.3,139.0,16,1.962
1,487.6,70.7,20.2,0.0,2,108,3400,180,5.5,7.4,11.0,4,1.721
2,487.6,152.1,19.1,5.0,3,108,3200,180,17.3,49.9,44.0,5,1.741
3,487.6,224.4,18.8,0.0,4,109,3000,190,62.3,93.2,59.0,6,1.883
4,487.6,300.6,19.2,0.0,2,107,3150,200,159.2,103.7,61.0,6,1.995
5,487.6,382.6,18.6,0.0,4,109,3300,170,167.4,115.6,64.0,6,2.358
6,487.6,192.9,19.6,0.0,4,107,3400,140,177.5,123.5,85.0,7,1.38
7,487.6,174.1,20.0,0.0,4,109,3400,210,194.5,131.7,114.0,7,2.423
8,487.6,221.6,20.4,0.0,3,107,3500,250,228.8,148.3,128.0,8,2.515
9,487.6,225.4,19.8,0.0,2,111,3650,300,239.2,156.4,137.0,10,2.561
10,487.6,244.1,18.5,0.0,4,109,4200,350,248.8,160.5,141.0,10,2.6
1,432.0,218.8,14.2,1.0,3,102,6412,1596,0.0,0.0,0.0,0,0.31
2,432.0,269.0,14.8,1.0,3,112,6783,1689,0.0,0.0,0.0,0,0.33
3,432.0,362.5,14.7,10.0,4,117,7175,1787,0.0,0.0,0.0,2,0.341
4,432.0,176.8,14.9,4.0,3,107,7567,1885,0.0,0.0,0.0,2,0.347
5,432.0,327.3,15.0,4.0,3,115,5174,3130,0.0,0.0,0.0,3,0.351
6,432.0,470.6,14.3,3.0,4,109,5190,2737,0.0,0.0,0.0,3,0.365
7,432.0,520.1,14.1,4.0,6,115,4777,2365,7.0,158.1,0.0,3,0.382
8,432.0,288.2,14.3,6.0,3,115,5201,2808,18.7,239.9,1.0,3,0.402
9,432.0,328.5,14.7,22.0,2,119,6167,2984,23.1,274.2,20.0,3,0.415
10,432.0,502.8,14.1,19.0,4,111,6250,3100,25.6,288.3,50.0,3,0.445
1,492.8,338.4,16.8,0.3,4,110,7200,1944,0.0,0.0,0.0,11,1.154
2,492.8,159.8,17.7,0.0,3,115,7200,2160,0.0,20.2,0.0,11,1.182
3,492.8,662.9,16.5,5.0,4,114,7840,3136,0.0,50.0,0.0,12,1.219
4,492.8,332.3,16.2,0.0,3,120,6650,1575,0.0,88.5,1.0,13,1.291
5,492.8,530.4,16.4,0.0,5,113,7000,1650,0.0,89.0,2.0,13,1.353
6,492.8,355.2,16.7,0.0,4,119,6800,1400,0.0,93.5,2.0,14,1.393
7,492.8,405.2,17.2,0.0,3,115,7150,1600,0.0,98.2,5.0,14,1.445
8,492.8,280.1,17.4,0.0,3,108,7500,2250,0.0,116.8,10.0,14,1.487
9,492.8,183.2,17.8,0.0,2,113,7300,2500,0.0,125.4,10.0,15,1.521
10,492.8,276.4,17.4,1.0,2,111,7800,2140,0.0,131.6,10.0,17,1.604
1,1028.7,380.7,18.5,1.0,3,111,5300,180,0.0,287.6,32.0,6,0.752
2,1028.7,349.8,18.4,0.0,3,115,5550,230,3.2,361.3,43.0,6,0.781
3,1028.7,441.3,18.6,0.0,4,115,5850,240,5.4,365.1,54.0,7,0.803
4,1028.7,288.6,18.7,0.0,3,110,5990,310,5.9,390.5,58.0,8,0.93
5,1028.7,413.4,19.2,0.0,3,113,6200,400,6.1,405.4,64.0,8,0.987
6,1028.7,272.5,19.4,0.0,3,108,7200,580,8.7,480.2,102.0,12,1.02
7,1028.7,141.2,19.9,0.0,2,105,6700,550,32.5,520.4,116.0,12,1.07
8,1028.7,198.7,19.4,0.0,2,106,7000,550,80.4,560.2,124.0,15,1.197
9,1028.7,282.8,18.2,0.0,4,114,8000,600,115.2,605.3,137.0,18,1.243
10,1028.7,101.6,19.6,0.0,2,101,8171,544,119.4,612.4,140.0,19,1.316
1,454.6,145.6,21.7,0.0,3,106,3650,730,0.0,0.0,0.0,0,
2,454.6,212.3,22.4,0.0,3,109,3500,700,2.3,0.0,0.0,0,0.591
3,454.6,181.8,21.3,0.0,3,109,4500,900,4.6,0.0,0.0,0,0.626
4,454.6,247.1,21.1,0.0,3,117,2100,625,6.3,6.3,47.9,5,0.643
5,454.6,291.6,21.3,0.0,2,110,2200,650,13.3,15.3,53.5,9,0.674
6,454.6,264.1,21.1,0.0,4,111,2700,690,63.2,25.3,57.0,20,0.697
7,454.6,213.8,21.8,0.0,2,109,2800,700,150.4,34.3,62.4,40,0.721
8,454.6,174.1,22.2,0.0,3,110,2850,700,240.2,63.2,67.0,95,0.735
9,454.6,93.8,22.6,0.0,2,107,3000,780,304.8,120.5,69.0,100,0.759
10,454.6,108.7,22.1,0.0,2,112,3100,820,330.4,304.8,75.0,110,0.78
1,459.7,390.5,16.4,0.0,3,112,3080,248,0.0,0.0,0.0,0,0.61
2,459.7,396.7,17.8,0.0,5,115,3960,320,0.0,0.0,0.0,0,0.64
3,459.7,210.2,18.7,0.0,3,113,4400,352,0.0,0.0,1.0,0,0.65
4,459.7,539.7,17.4,2.0,4,116,4100,410,0.0,0.0,1.0,1,0.67
5,459.7,377.0,17.2,0.0,3,121,3600,450,0.0,0.0,1.0,2,0.73
6,459.7,539.1,17.5,0.0,4,123,3800,475,0.0,5.6,2.0,2,0.74
7,459.7,422.7,17.6,0.0,3,114,3900,495,0.0,12.4,5.0,3,0.76
8,459.7,466.0,18.1,0.0,2,120,4050,522,0.0,67.7,9.0,4,0.77
9,459.7,322.1,18.4,0.0,3,110,4230,553,0.4,76.2,13.0,6,0.81
10,459.7,190.4,18.9,0.0,2,114,4360,567,1.2,86.3,16.0,6,0.845
1,533.2,340.4,15.6,0.0,4,115,2230,346,10.9,0.0,0.0,4,0.715
2,533.3,218.6,17.4,0.0,4,112,2300,350,11.3,0.0,0.0,4,0.725
3,533.3,304.7,17.8,1.0,3,114,2400,375,100.5,0.0,0.0,7,0.781
4,533.3,354.5,17.0,0.0,3,117,2600,390,210.7,0.0,0.0,7,0.796
5,533.3,161.1,18.2,0.0,4,106,2800,400,300.59,2.0,0.0,7,0.929
6,533.3,170.7,18.5,0.0,4,110,3020,660,355.9,3.0,0.0,7,0.991
7,533.3,223.9,18.9,0.0,3,110,3060,720,380.9,4.0,6.0,8,1.1
8,533.3,228.2,18.4,0.1,2,113,3200,700,426.2,4.0,6.0,8,1.183
9,533.3,225.0,17.2,0.0,4,114,3350,790,513.5,5.0,6.0,10,1.585
10,533.3,130.0,18.4,0.0,3,103,3500,900,579.1,5.0,10.0,10,1.563
1,579.1,175.3,17.6,17.0,3,110,2100,275,22.5,2.4,0.0,1,0.56
2,579.1,218.6,17.4,0.0,4,112,2300,350,49.5,4.7,1.0,3,0.632
3,579.1,304.7,17.8,1.0,3,114,2400,375,80.2,16.7,1.0,5,0.74
4,579.1,354.5,17.0,0.0,3,117,2500,400,115.7,29.5,1.0,6,0.742
5,579.1,161.1,18.2,0.0,4,106,2800,400,166.4,66.8,1.0,6,0.765
6,579.1,170.7,18.5,0.0,4,110,3020,660,250.4,72.8,2.0,7,0.793
7,579.1,223.9,18.9,0.0,3,110,3060,720,305.0,81.6,2.0,8,0.812
8,579.1,228.2,18.4,0.1,2,113,3200,700,365.9,95.6,2.0,9,0.851
9,579.1,225.0,17.2,0.0,4,114,3350,790,440.3,112.5,4.0,9,0.975
10,579.1,130.0,18.4,0.0,3,103,3500,900,524.6,135.6,4.0,11,0.994
